depot,destination_name,destination_lat,destination_lon,distance_km,duration_min
Gare de Lyon,LCL,48.8519768,2.3740283,2.22,6.44
Gare de Lyon,CPNDO,48.833928,2.3346768,4.49,12.39
Gare de Lyon,Le Muscat,48.9019537,2.3899121,10.86,19.31
Gare de Lyon,Clinique Vetinaire,48.8494676,2.3966677,2.56,6.14
Gare de Lyon,Crédit Agricole,48.8521972,2.3768807,1.78,5.14
Gare de Lyon,Café du métro,48.8925716,2.284911,11.52,26.47
Gare de Lyon,Institut de recherche et d’études Méditerranée Moyen-Orient,48.8491127,2.3476893,3.41,9.27
Gare de Lyon,Parking M.E.A.,48.8716303,2.4017079,6.79,14.66
Gare de Lyon,Le Triton,48.8785002,2.4149446,7.87,14.92
Gare de Lyon,Senso,48.8342769,2.2955846,11.71,20.93
Gare de Lyon,Valerio,48.8765317,2.3370161,5.97,16.73
Gare de Lyon,Taki,48.8509615,2.2916907,7.98,21.68
Gare de Lyon,Marie-Thé,48.847056,2.3216137,5.62,15.22
Gare de Lyon,Guichet Transilien,48.8798604,2.3580575,5.34,14.89
Gare de Lyon,Kokyu Ho - Club d'aikido Paris 17,48.8816354,2.3170262,7.68,21.41
Gare de Lyon,Pharmacie Kerdja,48.8625965,2.4659389,8.82,18.39
Gare de Lyon,Centre médico-psychologique,48.8381006,2.2938445,8.24,24.05
Gare de Lyon,Le Gainsbar,48.8333071,2.2521772,14.47,24.84
Gare de Lyon,Musée d'Histoire de la Médecine,48.8513247,2.3409022,3.94,10.97
Gare de Lyon,Bistro Saint-Dominique,48.8582703,2.3023952,7.55,20.06
Gare de Lyon,Sushi In,48.8191025,2.3258715,8.28,15.44
Gare de Lyon,École Primaire des Grands Moulins,48.8278142,2.3777359,3.05,8.23
